,Reviews_Lower,POSTag
10,i love this product because it does exactly what it says it will do ! my color remains beautiful and fresh and my hair feels luxurious and the volume sensational. definitely recommend :),"[('love', 'VB'), ('product', 'NN'), ('exactli', 'NNS'), ('say', 'VBP'), ('color', 'NN'), ('remain', 'VBP'), ('beauti', 'JJ'), ('fresh', 'JJ'), ('hair', 'NN'), ('feel', 'VB'), ('luxuri', 'JJ'), ('volum', 'FW'), ('sensational', 'JJ'), ('definit', 'NN'), ('recommend', 'NN')]"
11,"my friend got this shampoo and conditioner for me and it worked great, kept my hair clean, hydrated and actually helped keep my hair died red for over two months!","[('friend', 'NN'), ('got', 'VBD'), ('shampoo', 'JJ'), ('condition', 'NN'), ('work', 'NN'), ('great', 'JJ'), ('kept', 'VBD'), ('hair', 'JJ'), ('clean', 'JJ'), ('hydrat', 'NN'), ('actual', 'JJ'), ('help', 'NN'), ('keep', 'VB'), ('hair', 'NN'), ('die', 'JJ'), ('red', 'JJ'), ('two', 'CD'), ('month', 'NN')]"
12,"i decided to try color preserve when my color was fading. my color lasted longer and i like the smooth, silkiness of the shampoo.","[('decid', 'NN'), ('tri', 'NN'), ('color', 'NN'), ('preserv', 'NN'), ('color', 'NN'), ('fading', 'VBG'), ('color', 'NN'), ('last', 'JJ'), ('longer', 'NN'), ('like', 'IN'), ('smooth', 'JJ'), ('silki', 'NNS'), ('shampoo', 'NN')]"
13,"love the way my color lasted, shined had more volume than usual after i used color preserve volume shampoo.","[('love', 'VB'), ('way', 'NN'), ('color', 'NN'), ('lasted', 'VBD'), ('shine', 'JJ'), ('volum', 'NN'), ('usual', 'JJ'), ('use', 'NN'), ('color', 'NN'), ('preserv', 'NN'), ('volum', 'NN'), ('shampoo', 'NN')]"
14,it is absolutly weightless!!! i didnt understand that untill i tried it then i was lk aaaaahhhhhh!!,"[('absolutli', 'NN'), ('weightless', 'NN'), ('didnt', 'NN'), ('understand', 'NN'), ('until', 'IN'), ('tri', 'JJ'), ('lk', 'NNS'), ('aaaaahhhhhh', 'VBP')]"
15,this product helped give my hair volume and kept my color looking new longer than anything else has!,"[('product', 'NN'), ('help', 'NN'), ('give', 'VB'), ('hair', 'NN'), ('volum', 'NN'), ('kept', 'VBD'), ('color', 'NN'), ('look', 'NN'), ('new', 'JJ'), ('longer', 'JJR'), ('anyth', 'JJ'), ('el', 'NN'), ('ha', 'NN')]"
16,this product creates awesome body to the hair. a must for flat heads,"[('product', 'NN'), ('creat', 'NN'), ('awesom', 'JJ'), ('bodi', 'NN'), ('hair', 'NN'), ('must', 'MD'), ('flat', 'VB'), ('head', 'NN')]"
17,pantene color preserve helps keep your hair color longer!,"[('panten', 'JJ'), ('color', 'NN'), ('preserv', 'NN'), ('help', 'NN'), ('keep', 'VB'), ('hair', 'NN'), ('color', 'NN'), ('longer', 'NN')]"
18,"i have very oily, fine hair and this shampoo just made my hair look dirtier than before washing it. my hair was greasy and heavy. i thought maybe i just didn't rinse well enough so i gave it another try a few days later but had the same results. i can say that it smelled good!","[('oily', 'RB'), ('fine', 'JJ'), ('hair', 'NN'), ('shampoo', 'NN'), ('made', 'VBD'), ('hair', 'JJ'), ('look', 'VB'), ('dirtier', 'JJR'), ('wash', 'NN'), ('it', 'PRP'), ('hair', 'VBZ'), ('greasi', 'JJ'), ('heavy', 'JJ'), ('thought', 'VBN'), ('mayb', 'NN'), ('rins', 'VBZ'), ('well', 'RB'), ('enough', 'RB'), ('gave', 'VBD'), ('anoth', 'DT'), ('tri', 'JJ'), ('day', 'NN'), ('later', 'RBR'), ('result', 'NN'), ('say', 'VBP'), ('smell', 'NN'), ('good', 'JJ')]"
19,i've used your volume product for years but all of the sudden you removed the 2-in-1 so i switched to this and the conditioner then you changed the shampoo and the conditioner (which wasn't nearly as good as the 2-in-1 but was better than nothing) ! i loved your product but now i have to find another unfortunately nothing you offer compares to the quality you used to have! why would you change such a great product! i wish you'd bring back the 2-in-1! for me being a man with baby fine hair it was the only product on the market that didn't cause me to lose hair or dry it out and didn't have an over powering feminine scent! i really wish you'd stop messing with good things!,"[('iv', 'NN'), ('use', 'NN'), ('volum', 'NN'), ('product', 'NN'), ('year', 'NN'), ('sudden', 'JJ'), ('remov', 'NN'), ('2inswitch', 'CD'), ('condition', 'NN'), ('chang', 'NN'), ('shampoo', 'NN'), ('condition', 'NN'), ('which', 'WDT'), ('nearli', 'RB'), ('good', 'JJ'), ('2inbetter', 'CD'), ('nothing', 'NN'), ('love', 'NN'), ('product', 'NN'), ('find', 'VB'), ('anoth', 'JJ'), ('unfortun', 'JJ'), ('noth', 'DT'), ('offer', 'VBP'), ('compar', 'NN'), ('qualiti', 'NN'), ('use', 'NN'), ('have', 'VBP'), ('would', 'MD'), ('chang', 'VB'), ('great', 'JJ'), ('product', 'NN'), ('wish', 'JJ'), ('bring', 'NN'), ('back', 'RB'), ('2inman', 'CD'), ('babi', 'NN'), ('fine', 'JJ'), ('hair', 'NN'), ('product', 'NN'), ('market', 'NN'), ('caus', 'NN'), ('lose', 'VBP'), ('hair', 'NN'), ('dri', 'NN'), ('power', 'NN'), ('feminin', 'NN'), ('scent', 'NN'), ('realli', 'NN'), ('wish', 'JJ'), ('stop', 'NN'), ('mess', 'NN'), ('good', 'JJ'), ('thing', 'NN')]"
20,i have been using aussome volume for over 10 years except it used to be called real volume. i would really like to know if you changed the formula for it. the last 6 or so months i've been having scalp problems with sores and my hair falling out. the last couple of bottles i purchased have had a much stronger smell to it and it is drying my hair and scalp out really bad. it never used to do this. it always made my hair really thicker looking and just really nice. hardly ever had to use conditioner. please if you could let me know about that i would really appreciate it. i haven't ever thought about switching from aussie but now i think i have too.,"[('use', 'NN'), ('aussom', 'NN'), ('volum', 'NN'), ('year', 'NN'), ('except', 'IN'), ('use', 'NN'), ('call', 'JJ'), ('real', 'JJ'), ('volume', 'NN'), ('would', 'MD'), ('realli', 'VB'), ('like', 'IN'), ('know', 'NNP'), ('chang', 'VBP'), ('formula', 'NN'), ('it', 'PRP'), ('last', 'JJ'), ('month', 'NN'), ('iv', 'VBD'), ('scalp', 'NN'), ('problem', 'NN'), ('sore', 'VBD'), ('hair', 'NN'), ('fall', 'NN'), ('out', 'IN'), ('last', 'JJ'), ('coupl', 'JJ'), ('bottl', 'NN'), ('purchas', 'RB'), ('much', 'RB'), ('stronger', 'JJR'), ('smell', 'NN'), ('dri', 'RB'), ('hair', 'JJ'), ('scalp', 'JJ'), ('realli', 'NN'), ('bad', 'JJ'), ('never', 'RB'), ('use', 'VBP'), ('this', 'DT'), ('alway', 'NN'), ('made', 'VBD'), ('hair', 'NN'), ('realli', 'NN'), ('thicker', 'NN'), ('look', 'NN'), ('realli', 'JJ'), ('nice', 'JJ'), ('hardli', 'NN'), ('ever', 'RB'), ('use', 'VBP'), ('conditioner', 'JJR'), ('plea', 'NN'), ('could', 'MD'), ('let', 'VB'), ('know', 'VB'), ('would', 'MD'), ('realli', 'VB'), ('appreci', 'IN'), ('it', 'PRP'), ('ever', 'RB'), ('thought', 'VBD'), ('switch', 'VB'), ('aussi', 'JJ'), ('think', 'VB'), ('too', 'RB')]"
21,"i tried this hoping it would give great results. it was the opposite effect. my hair became limp, flat, and greasy not to mention it felt grimy and dirty. i usually like these products but was diappointed. sorry aussie:(","[('tri', 'NNS'), ('hope', 'VBP'), ('would', 'MD'), ('give', 'VB'), ('great', 'JJ'), ('result', 'NN'), ('opposit', 'NN'), ('effect', 'NN'), ('hair', 'NN'), ('becam', 'NN'), ('limp', 'NN'), ('flat', 'JJ'), ('greasi', 'NN'), ('mention', 'NN'), ('felt', 'VBD'), ('grimi', 'JJ'), ('dirty', 'JJ'), ('usual', 'JJ'), ('like', 'IN'), ('product', 'NN'), ('diappointed', 'VBN'), ('sorri', 'JJ'), ('aussie', 'NN')]"
22,it leaves my hair and scalp dried out. it does provide any volume.,"[('leav', 'JJ'), ('hair', 'NN'), ('scalp', 'NN'), ('dri', 'VBZ'), ('out', 'RP'), ('provid', 'JJ'), ('volume', 'NN')]"
23,"you changed the smell! the bottle i just used up says the scent is white ginger, the new one says it's jojoba, but it smells like cherries or something. why in the world have you changed the formula! i've used this for over 10 years, and the smell was always the same, even if the formula was changed. i miss the old smell, it was my favorite. now i have to find another shampoo with a mild scent that i like. rude.","[('chang', 'NN'), ('smell', 'NN'), ('bottl', 'NN'), ('use', 'VBP'), ('say', 'VBP'), ('scent', 'JJ'), ('white', 'JJ'), ('ginger', 'NN'), ('new', 'JJ'), ('one', 'CD'), ('say', 'VBP'), ('jojoba', 'NN'), ('smell', 'VBP'), ('like', 'IN'), ('cherri', 'NN'), ('something', 'NN'), ('world', 'NN'), ('chang', 'NN'), ('formula', 'NN'), ('iv', 'NN'), ('use', 'IN'), ('year', 'NN'), ('smell', 'VBP'), ('alway', 'RB'), ('same', 'JJ'), ('even', 'RB'), ('formula', 'VBP'), ('changed', 'VBN'), ('miss', 'JJ'), ('old', 'JJ'), ('smell', 'NN'), ('favorite', 'RB'), ('find', 'VBP'), ('anoth', 'JJ'), ('shampoo', 'JJ'), ('mild', 'JJ'), ('scent', 'NN'), ('like', 'IN'), ('rude', 'NN')]"
24,"the scent is too strong, it burns your eyes, and leaves your hair very dry. avoid it. when it comes to shampoo and conditioner you really get what you pay for.","[('scent', 'NN'), ('strong', 'JJ'), ('burn', 'NN'), ('eye', 'NN'), ('leav', 'JJ'), ('hair', 'NN'), ('dry', 'JJ'), ('avoid', 'NN'), ('it', 'PRP'), ('come', 'VBD'), ('shampoo', 'JJ'), ('condition', 'NN'), ('realli', 'NN'), ('get', 'VBP'), ('pay', 'NN'), ('for', 'IN')]"
25,"i received this as a sample from influenster. first, let me say i love the smell. it is fresh and fruity and very good. however, when i was rinsing it out, it took all the 'slip' out of my hair and my hair felt pure straw!!! i am sad, because i loved the smell.","[('receiv', 'NN'), ('sampl', 'NN'), ('influenster', 'NN'), ('first', 'JJ'), ('let', 'VB'), ('say', 'VB'), ('love', 'VB'), ('smell', 'NN'), ('fresh', 'JJ'), ('fruiti', 'NN'), ('good', 'JJ'), ('however', 'RB'), ('rins', 'VBZ'), ('out', 'RP'), ('took', 'VBD'), ('slip', 'NN'), ('hair', 'NN'), ('hair', 'NN'), ('felt', 'VBD'), ('pure', 'JJ'), ('straw', 'JJ'), ('sad', 'JJ'), ('love', 'NN'), ('smell', 'NN')]"
26,"i use this because it has very little fragrance, but the containers are pure torture to use. you can barely open and close them, so i have to put it in another bottle.","[('use', 'NN'), ('littl', 'JJ'), ('fragrance', 'NN'), ('contain', 'NN'), ('pure', 'NN'), ('tortur', 'NN'), ('use', 'NN'), ('bare', 'NN'), ('open', 'JJ'), ('close', 'RB'), ('them', 'PRP'), ('put', 'VBD'), ('anoth', 'DT'), ('bottle', 'NN')]"
27,"i received this product free for testing purposes, but my opinions are 100 my own. i didn't fall in love with this shampoo. i think it dried out my hair. once i rinsed it out, i instantly felt like i needed a lot of conditioner to make up for the dryness. i think there are better shampoos at the drugstore, but i didn't hate it.","[('receiv', 'JJ'), ('product', 'NN'), ('free', 'JJ'), ('test', 'NN'), ('purpose', 'JJ'), ('opinion', 'NN'), ('own', 'JJ'), ('fall', 'NN'), ('love', 'VBP'), ('shampoo', 'NN'), ('think', 'VBP'), ('dri', 'JJ'), ('hair', 'NN'), ('rins', 'VBZ'), ('out', 'RP'), ('instantli', 'JJ'), ('felt', 'NNS'), ('like', 'IN'), ('need', 'NN'), ('lot', 'NN'), ('condition', 'NN'), ('make', 'VBP'), ('dryness', 'NN'), ('think', 'VBP'), ('better', 'JJR'), ('shampoo', 'NN'), ('drugstore', 'NN'), ('hate', 'NN'), ('it', 'PRP')]"
28,this shampoo smells great and does a good job at cleaning my hair. i've been using this product for about 2-3 weeks. however i do not notice a difference in the volume of my hair. i have thick coarse hair which is hard to hold any volume even with teasing. if you have less coarse hair this might work better for you. i used this with their volumizing conditioner and spray and did not see a difference. i received this product for free but all opinions are my own,"[('shampoo', 'NN'), ('smell', 'NN'), ('great', 'JJ'), ('good', 'JJ'), ('job', 'NN'), ('clean', 'JJ'), ('hair', 'NN'), ('iv', 'NN'), ('use', 'NN'), ('product', 'NN'), ('week', 'NN'), ('howev', 'JJ'), ('notic', 'JJ'), ('differ', 'NN'), ('volum', 'NN'), ('hair', 'NN'), ('thick', 'JJ'), ('coars', 'NNS'), ('hair', 'RB'), ('hard', 'JJ'), ('hold', 'NN'), ('volum', 'NN'), ('even', 'RB'), ('teasing', 'VBG'), ('le', 'JJ'), ('coars', 'NNS'), ('hair', 'NN'), ('might', 'MD'), ('work', 'VB'), ('better', 'RB'), ('you', 'PRP'), ('use', 'VBP'), ('volum', 'JJ'), ('condition', 'NN'), ('spray', 'NN'), ('see', 'VBP'), ('difference', 'NN'), ('receiv', 'JJ'), ('product', 'NN'), ('free', 'JJ'), ('opinion', 'NN')]"
29,i do not feel like i had more volume after using this. which is the whole point right i also could not stand the smell. that is just preference of course. but i was self conscious about it. don't get me wrong it's not a bad shampoo but i didn't see a difference in volume. it did not make my hair worse. i did recieve this shampoo for free for testing purposes but all opinions are my own.,"[('feel', 'NN'), ('like', 'IN'), ('volum', 'NN'), ('use', 'NN'), ('this', 'DT'), ('whole', 'JJ'), ('point', 'NN'), ('right', 'NN'), ('also', 'RB'), ('could', 'MD'), ('stand', 'VB'), ('smell', 'RB'), ('prefer', 'VB'), ('course', 'NN'), ('self', 'PRP'), ('consciou', 'VBP'), ('it', 'PRP'), ('get', 'VB'), ('wrong', 'JJ'), ('bad', 'JJ'), ('shampoo', 'NN'), ('see', 'VBP'), ('differ', 'NN'), ('volume', 'NN'), ('make', 'VBP'), ('hair', 'NN'), ('worse', 'JJR'), ('reciev', 'NN'), ('shampoo', 'VBD'), ('free', 'JJ'), ('test', 'NN'), ('purpos', 'NN'), ('opinion', 'NN'), ('own', 'IN')]"
30,"i was very disappointed with this shampoo. it didnt give me any volume. in fact it made my hair oily and flat. i lile aussir products but this one just doesn't hold up. i tested aussie for free, but all opinions are my own.","[('disappoint', 'NN'), ('shampoo', 'NN'), ('didnt', 'JJ'), ('give', 'JJ'), ('volume', 'NN'), ('fact', 'NN'), ('made', 'VBD'), ('hair', 'NN'), ('oili', 'JJ'), ('flat', 'JJ'), ('lile', 'NN'), ('aussir', 'JJ'), ('product', 'NN'), ('one', 'CD'), ('hold', 'NN'), ('up', 'RP'), ('test', 'NN'), ('aussi', 'IN'), ('free', 'JJ'), ('opinion', 'NN'), ('own', 'IN')]"
31,"i use this because it has very little fragrance, but the containers are pure torture to use. you can barely open and close them, so i have to put it in another bottle.","[('use', 'NN'), ('littl', 'JJ'), ('fragrance', 'NN'), ('contain', 'NN'), ('pure', 'NN'), ('tortur', 'NN'), ('use', 'NN'), ('bare', 'NN'), ('open', 'JJ'), ('close', 'RB'), ('them', 'PRP'), ('put', 'VBD'), ('anoth', 'DT'), ('bottle', 'NN')]"
32,"makes my hair clean, soft, and smooth without weighing it down! touchable volume and silky finish. it also smells so good. i was sent this product for reviewing purposes but all opinions are my own.","[('make', 'VB'), ('hair', 'JJ'), ('clean', 'JJ'), ('soft', 'JJ'), ('smooth', 'NNS'), ('without', 'IN'), ('weigh', 'VBP'), ('down', 'RP'), ('touchabl', 'RB'), ('volum', 'JJ'), ('silki', 'NN'), ('finish', 'NN'), ('also', 'RB'), ('smell', 'RB'), ('good', 'JJ'), ('sent', 'VBD'), ('product', 'NN'), ('review', 'NN'), ('purpos', 'JJ'), ('opinion', 'NN'), ('own', 'IN')]"
33,i thought this shampoo was great it felt good in my hair it didn't dry my hair out or make it overly oily. however the smell was a little strong for me it did smell good just alittle strong that's my only dislike. however if smell really doesn't bother you then you'll love this shampoo. i was given this product to try and review by influencer. however my opinion of the product is my own.,"[('thought', 'VBN'), ('shampoo', 'RB'), ('great', 'JJ'), ('felt', 'VBD'), ('good', 'JJ'), ('hair', 'NN'), ('dri', 'JJ'), ('hair', 'NN'), ('make', 'VBP'), ('overli', 'JJ'), ('oily', 'RB'), ('howev', 'VBP'), ('smell', 'NN'), ('littl', 'NN'), ('strong', 'JJ'), ('smell', 'RB'), ('good', 'JJ'), ('alittl', 'NN'), ('strong', 'JJ'), ('that', 'IN'), ('dislike', 'NN'), ('howev', 'NN'), ('smell', 'NN'), ('realli', 'VBZ'), ('bother', 'RB'), ('love', 'JJ'), ('shampoo', 'NN'), ('given', 'VBN'), ('product', 'NN'), ('tri', 'NN'), ('review', 'NN'), ('influencer', 'NN'), ('howev', 'JJ'), ('opinion', 'NN'), ('product', 'NN'), ('own', 'JJ')]"
34,"i received this item for free and in my opinion i would love to use this product everyday! it is wonderful, the shampoo lathers really well and has a light citrusy scent. the conditioner is not greasy and i did notice that after a week of daily use that my hair does seem much thicker then usual! i would definitely buy this again.","[('receiv', 'JJ'), ('item', 'NN'), ('free', 'JJ'), ('opinion', 'NN'), ('would', 'MD'), ('love', 'VB'), ('use', 'NN'), ('product', 'NN'), ('everyday', 'JJ'), ('wonderful', 'JJ'), ('shampoo', 'NN'), ('lather', 'NN'), ('realli', 'NN'), ('well', 'RB'), ('light', 'JJ'), ('citrusi', 'NNS'), ('scent', 'JJ'), ('condition', 'NN'), ('greasi', 'NN'), ('notic', 'JJ'), ('week', 'NN'), ('daili', 'NN'), ('use', 'NN'), ('hair', 'NN'), ('seem', 'VBP'), ('much', 'RB'), ('thicker', 'JJR'), ('usual', 'JJ'), ('would', 'MD'), ('definit', 'VB'), ('buy', 'VB'), ('again', 'RB')]"
35,"i love this shampoo so much! it leaves my hair feeling extra soft and lightweight! i do not see a difference with the volume in my hair after using this - that's why i gave this product 4 out of 5. otherwise, i absolutely love this product so much and will repurchase! *i received this product via influenster to try for free review","[('love', 'VB'), ('shampoo', 'NN'), ('much', 'JJ'), ('leav', 'NN'), ('hair', 'NN'), ('feel', 'VBP'), ('extra', 'JJ'), ('soft', 'JJ'), ('lightweight', 'NN'), ('see', 'VBP'), ('differ', 'NN'), ('volum', 'NN'), ('hair', 'NN'), ('use', 'IN'), ('that', 'DT'), ('gave', 'VBD'), ('product', 'NN'), ('otherwise', 'RB'), ('absolut', 'JJ'), ('love', 'VB'), ('product', 'NN'), ('much', 'JJ'), ('repurchase', 'NN'), ('i', 'NN'), ('receiv', 'VBP'), ('product', 'NN'), ('via', 'IN'), ('influenst', 'JJ'), ('tri', 'JJ'), ('free', 'JJ'), ('review', 'NN')]"
36,"this product is pretty good, but it's not really right for me. it doesn't make my hair as smooth as some other products i use, but that doesn't mean it couldn't do that for yours. it'd like it to provide a little more volume for what it's advertising. i tested this product for free, but all opinions are my own.","[('product', 'NN'), ('pretti', 'NNS'), ('good', 'JJ'), ('realli', 'NN'), ('right', 'NN'), ('me', 'PRP'), ('make', 'VBP'), ('hair', 'JJ'), ('smooth', 'JJ'), ('product', 'NN'), ('use', 'NN'), ('mean', 'JJ'), ('yours', 'NNS'), ('itd', 'VBP'), ('like', 'IN'), ('provid', 'NN'), ('littl', 'NN'), ('volum', 'NN'), ('advertising', 'NN'), ('test', 'NN'), ('product', 'NN'), ('free', 'JJ'), ('opinion', 'NN'), ('own', 'IN')]"
37,"my initial reaction was that the bottle was very hard to open and that the scent was not all that great. however, after using it, i loved the way it made my hair feel. it felt soft and the difference in volume from my regular shampoo was noticeable. i received this product for free. opinions are my own.","[('initi', 'JJ'), ('reaction', 'NN'), ('bottl', 'RB'), ('hard', 'JJ'), ('open', 'JJ'), ('scent', 'NN'), ('great', 'JJ'), ('however', 'RB'), ('use', 'VBP'), ('it', 'PRP'), ('love', 'VB'), ('way', 'NN'), ('made', 'VBN'), ('hair', 'NN'), ('feel', 'VB'), ('felt', 'VBD'), ('soft', 'JJ'), ('differ', 'NN'), ('volum', 'NN'), ('regular', 'JJ'), ('shampoo', 'NN'), ('noticeable', 'JJ'), ('receiv', 'JJ'), ('product', 'NN'), ('free', 'JJ'), ('opinion', 'NN'), ('own', 'IN')]"
38,"so, i like this product because it tends to make my hair a little more dry and for me that is good up top because my hair gets very greasy very quickly. however because of this my hair gets more tangled than usual.","[('so', 'RB'), ('like', 'JJ'), ('product', 'NN'), ('tend', 'VB'), ('make', 'JJ'), ('hair', 'NN'), ('littl', 'JJ'), ('dri', 'NN'), ('good', 'JJ'), ('top', 'NN'), ('hair', 'NN'), ('get', 'VBP'), ('greasi', 'JJ'), ('quickly', 'RB'), ('howev', 'VBP'), ('hair', 'JJ'), ('get', 'VB'), ('tangl', 'JJ'), ('usual', 'JJ')]"
39,"i love this shampoo. i have extremely thick hair but this shampoo lathers up nicely and i an use less than i normally would. it doesn't weigh my hair down like other shampoos either. like all aussie products, the smell is fantastic and lasts all day. i tried aussie for free but these are my own opinions","[('love', 'VB'), ('shampoo', 'NN'), ('extrem', 'NN'), ('thick', 'JJ'), ('hair', 'NN'), ('shampoo', 'VBD'), ('lather', 'JJR'), ('nice', 'JJ'), ('use', 'NN'), ('le', 'NN'), ('normal', 'JJ'), ('would', 'MD'), ('weigh', 'VB'), ('hair', 'NN'), ('like', 'IN'), ('shampoo', 'NN'), ('either', 'CC'), ('like', 'IN'), ('aussi', 'JJ'), ('product', 'NN'), ('smell', 'NN'), ('fantast', 'JJ'), ('last', 'JJ'), ('day', 'NN'), ('tri', 'VBD'), ('aussi', 'RB'), ('free', 'JJ'), ('opinion', 'NN')]"
